modularity_class,Degree_mean,Degree_var,betweenesscentrality_mean,betweenesscentrality_var,clusteringcoefficient_mean,clusteringcoefficient_var,communitysize
1054,0,,0,,0,,2823
1055,0,,0,,0,,2824
1056,0,,0,,0,,2825
1057,0,,0,,0,,2826
1058,0,,0,,0,,2827
1059,0,,0,,0,,2828
1060,0,,0,,0,,2829
1061,0,,0,,0,,2830
1062,0,,0,,0,,2831
1063,0,,0,,0,,2832
1064,0,,0,,0,,2833
1065,0,,0,,0,,2834
1066,0,,0,,0,,2835
1067,0,,0,,0,,2836
1068,0,,0,,0,,2837
1069,0,,0,,0,,2838
1070,0,,0,,0,,2839
1071,0,,0,,0,,2840
1072,0,,0,,0,,2841
1073,0,,0,,0,,2842
1074,0,,0,,0,,2843
1075,0,,0,,0,,2844
1076,0,,0,,0,,2845
1077,0,,0,,0,,2846
1078,0,,0,,0,,2847
1079,0,,0,,0,,2848
1080,0,,0,,0,,2849
1081,0,,0,,0,,2850
1082,0,,0,,0,,2851
1083,0,,0,,0,,2852
1084,0,,0,,0,,2853
1085,0,,0,,0,,2854
1086,0,,0,,0,,2855
1087,0,,0,,0,,2856
1088,0,,0,,0,,2857
1089,0,,0,,0,,2858
1090,0,,0,,0,,2859
1091,0,,0,,0,,2860
1092,0,,0,,0,,2861
1093,0,,0,,0,,2862
1094,0,,0,,0,,2863
1095,0,,0,,0,,2864
1096,0,,0,,0,,2865
1097,0,,0,,0,,2866
1098,0,,0,,0,,2867
1099,0,,0,,0,,2868
1100,0,,0,,0,,2869
1101,0,,0,,0,,2870
1102,0,,0,,0,,2871
1103,0,,0,,0,,2872
1104,0,,0,,0,,2873
1105,0,,0,,0,,2874
1106,0,,0,,0,,2875
1107,0,,0,,0,,2876
1108,0,,0,,0,,2877
1109,0,,0,,0,,2878
1110,0,,0,,0,,2879
1111,0,,0,,0,,2880
1112,0,,0,,0,,2881
1113,0,,0,,0,,2882
1114,0,,0,,0,,2883
1115,0,,0,,0,,2884
1116,0,,0,,0,,2885
